yyyy.mm.dd,hh.mm.ss.ss,lat,lon,depth,ML,locality,county,geometry
20/08/1983, 00:48:31.8,51.768,-3.852,4.1,1.0, GLANAMAN,W.GLAMORGAN,POINT (-795001.849625424 5905301.347132962)
18/11/1996, 00:03:56.4,51.766,-3.838,5.5,1.0, GLANAMAN,DYFED,POINT (-794108.2490244028 5904826.703321477)
17/02/2018, 14:31:07.6,51.767,-3.833,7.5,4.6, CWMLLYNFELL,NPT,POINT (-793738.7161477732 5904845.194746204)
17/02/2018, 14:35:21.0,51.76,-3.821,7.5,1.8, CWMLLYNFELL,NPT,POINT (-793127.852901367 5903859.003589275)
17/02/2018, 14:40:22.6,51.76,-3.82,7.5,0.7, CWMLLYNFELL,NPT,POINT (-793059.8104022434 5903840.787058266)
17/02/2018, 15:09:35.5,51.749,-3.824,7.8,1.2, CWMLLYNFELL,NPT,POINT (-793654.9284276126 5902707.529329726)
17/02/2018, 16:07:10.4,51.756,-3.823,8.0,0.5, CWMLLYNFELL,NPT,POINT (-793381.371900893 5903456.8488120325)
17/02/2018, 16:27:06.6,51.767,-3.828,7.8,1.5, CWMLLYNFELL,NPT,POINT (-793398.5664166152 5904754.068064529)
17/02/2018, 23:17:32.7,51.759,-3.819,7.8,2.2, CWMLLYNFELL,NPT,POINT (-793021.1203922867 5903712.923352767)
18/02/2018, 11:00:33.8,51.76,-3.825,7.7,1.6, CWMLLYNFELL,NPT,POINT (-793400.0217458997 5903931.879819178)
26/05/2018, 02:53:26.7,51.764,-3.824,7.8,0.9, CWMLLYNFELL,NPT,POINT (-793214.5331758095 5904352.2464394625)
25/02/2019, 05:47:33.0,51.765,-3.828,7.7,0.8, CWMLLYNFELL,NPT,POINT (-793457.3055468155 5904534.777421616)
14/05/2020, 23:55:55.4,51.757,-3.923,10.1,1.0, GARNSWLLT,SWANSEA,POINT (-800156.146211332 5905393.51251395)
04/09/1986, 13:09:46.4,51.861,-3.944,0.0,1.3, NR LLANDEILO,DYFED,POINT (-798509.1856438769 5917178.500747452)
20/05/2005, 11:19:47.0,51.896,-3.843,10.9,1.3, LLANDEILO,DYFED,POINT (-790624.188494761 5919169.858184267)
21/05/2005, 18:01:56.6,51.898,-3.856,10.0,1.2, LLANDEILO,DYFED,POINT (-791446.892969806 5919625.9547099)
15/05/2023, 02:11:39.4,51.866,-3.803,10.7,0.9, GWYNFE,CARMARTHENSHIRE,POINT (-788792.4496036177 5915153.2455515945)
25/12/1998, 08:49:44.1,51.809,-3.983,18.8,1.5, AMMANFORD,DYFED,POINT (-802697.4030363795 5912194.460730133)
